Enrollment	Final_Grade	Explicación
50978	A	"Generalmente, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Normalmente, logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; casi siempre describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
50980	NULL	NULL
50984	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
50986	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
50994	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51014	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51016	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
51051	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51052	E	El examinado no concluyó el proceso de evaluación. Las habilidades lingüísticas que presentó no son suficientes para acreditar el Examen de Certificación de EXAVER 1 nivel A2.
51054	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51064	NULL	NULL
51076	A	"Generalmente, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Normalmente, logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; casi siempre describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51078	NULL	NULL
51097	NULL	NULL
51106	E	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. 
51109	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51114	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51120	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51122	E	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. 
51124	NULL	NULL
51131	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
51137	B	"A menudo, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Con frecuencia logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; suele describir en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51147	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51149	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51160	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
51162	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51164	NULL	NULL
51168	B	"A menudo, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Con frecuencia logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; suele describir en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51184	B	"A menudo, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Con frecuencia logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; suele describir en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51196	NULL	NULL
51198	NULL	NULL
51211	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51226	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
51231	NULL	NULL
51251	NULL	NULL
51256	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
51258	A	"Generalmente, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Normalmente, logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; casi siempre describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51260	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51263	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
51264	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51268	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51271	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51273	NULL	NULL
51288	NULL	NULL
51296	E	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. 
51299	B	"A menudo, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Con frecuencia logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; suele describir en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51300	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51305	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
51315	NULL	NULL
51316	NULL	NULL
51321	B	"A menudo, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Con frecuencia logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; suele describir en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51329	NULL	NULL
51332	NULL	NULL
51344	NULL	NULL
51348	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51361	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51363	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51367	E	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. 
51379	A	"Generalmente, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Normalmente, logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; casi siempre describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51382	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
51387	B	"A menudo, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Con frecuencia logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; suele describir en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51388	B	"A menudo, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Con frecuencia logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; suele describir en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51392	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51395	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51403	NULL	NULL
51407	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
51411	NULL	NULL
51424	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
51426	NULL	NULL
51427	E	El examinado no concluyó el proceso de evaluación. Las habilidades lingüísticas que presentó no son suficientes para acreditar el Examen de Certificación de EXAVER 1 nivel A2.
51435	NULL	NULL
51436	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51443	NULL	NULL
51444	NULL	NULL
51450	B	"A menudo, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Con frecuencia logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; suele describir en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51456	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51465	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51477	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51478	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51487	NULL	NULL
51497	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
51505	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51506	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
51509	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51512	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51515	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
51518	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51528	NULL	NULL
51529	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51530	E	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. 
51534	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51537	E	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. 
51544	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
51552	NULL	NULL
51556	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51558	E	El examinado no concluyó el proceso de evaluación. Las habilidades lingüísticas que presentó no son suficientes para acreditar el Examen de Certificación de EXAVER 1 nivel A2.
51559	NULL	NULL
51560	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51563	E	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. 
51567	NULL	NULL
51570	B	"A menudo, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Con frecuencia logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; suele describir en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51571	NULL	NULL
51577	E	El examinado no concluyó el proceso de evaluación. Las habilidades lingüísticas que presentó no son suficientes para acreditar el Examen de Certificación de EXAVER 1 nivel A2.
51582	NULL	NULL
51585	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
51590	NULL	NULL
49168	D	Nivel de competencia lingüística insuficiente para acreditar el Examen de Certificación de Lengua Inglesa EXAVER 2 nivel B1. No acreditó el total de las cuatro habilidades lingüísticas evaluadas en el examen.
49200	D	Nivel de competencia lingüística insuficiente para acreditar el Examen de Certificación de Lengua Inglesa EXAVER 2 nivel B1. No acreditó el total de las cuatro habilidades lingüísticas evaluadas en el examen.
49203	D	Nivel de competencia lingüística insuficiente para acreditar el Examen de Certificación de Lengua Inglesa EXAVER 2 nivel B1. No acreditó el total de las cuatro habilidades lingüísticas evaluadas en el examen.
49223	NULL	NULL
49237	D	Nivel de competencia lingüística insuficiente para acreditar el Examen de Certificación de Lengua Inglesa EXAVER 2 nivel B1. No acreditó el total de las cuatro habilidades lingüísticas evaluadas en el examen.
49239	D	Nivel de competencia lingüística insuficiente para acreditar el Examen de Certificación de Lengua Inglesa EXAVER 2 nivel B1. No acreditó el total de las cuatro habilidades lingüísticas evaluadas en el examen.
49253	C	"De vez en cuando, el examinado es capaz de comprender las ideas principales de textos si tratan sobre cuestiones que le son conocidas, ya sea en situaciones de trabajo, estudio u ocio. A veces comprende la idea principal de programas de radio o televisión siempre y cuando se traten de temas actuales, asuntos de interés personal o profesional cuando la articulación de la lengua es relativamente lenta y clara. Algunas veces el examinado logra desenvolverse en situaciones que pueden surgir en viajes donde se utilice la lengua inglesa. Igualmente, de vez en cando es capaz de participar espontáneamente en conversaciones que traten temas cotidianos o de interés personal. A veces el examinado enlaza frases de forma sencilla con el fin de describir experiencias, acontecimientos, deseos y aspiraciones explicando y justificando brevemente sus opiniones o proyectos."
49288	NULL	NULL
